Subscription Id,Resource Group,Location,Resource Type,Resource Name,Sku Name,Sku Tier,Kind,SLA,Resource Id
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,rg-mcp-dev,eastus,microsoft.apimanagement/service,apim-mcp-dev-thines,BasicV2,,,99.95% (SKU: BasicV2),/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/rg-mcp-dev/providers/Microsoft.ApiManagement/service/apim-mcp-dev-thines
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,rg-mcp-dev,eastus,microsoft.insights/components,appi-mcp-dev,,,web,99.9%,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/rg-mcp-dev/providers/Microsoft.Insights/components/appi-mcp-dev
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,rg-mcp-dev,eastus,microsoft.keyvault/vaults,kvmcpdevthines,,,,99.99%,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/rg-mcp-dev/providers/Microsoft.KeyVault/vaults/kvmcpdevthines
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,rg-mcp-dev,eastus,microsoft.operationalinsights/workspaces,log-mcp-dev,,,,99.9%,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/rg-mcp-dev/providers/Microsoft.OperationalInsights/workspaces/log-mcp-dev
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,prod-rg,eastus,microsoft.web/serverfarms,plan-wtunmw4mafbha,P0v3,Premium0V3,app,99.95%,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/serverFarms/plan-wtunmw4mafbha
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,prod-rg,eastus,microsoft.web/sites,app-wtunmw4mafbha,,,app,99.95%,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,prod-rg,eastus,microsoft.web/sites,natt-mcp-7updxksg,,,app,99.95%,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/natt-mcp-7updxksg
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,debo-east2-rg,eastus2,microsoft.app/managedenvironments,debo-env,,,,99.95%,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.App/managedEnvironments/debo-env
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,debo-east2-rg,eastus2,microsoft.cache/redis,debo-redis,,,,99.9%,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.Cache/Redis/debo-redis
xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,debo-east2-rg,eastus2,microsoft.operationalinsights/workspaces,debo-logs,,,,99.9%,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.OperationalInsights/workspaces/debo-logs
